CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption
300,Company_300,Manufacturing,Europe,2015,2030.0,2.5,1054.2,,51.8,37.9,53.6,64.1,569254.8,759006.3,9487579.2
300,Company_300,Manufacturing,Europe,2016,2008.7,2.2,857.7,-1.1,53.0,40.7,53.6,64.6,551293.1,735057.5,9188218.8
300,Company_300,Manufacturing,Europe,2017,1852.9,0.7,248.3,-7.8,52.8,39.3,54.0,65.1,514255.6,685674.2,8570927.0
300,Company_300,Manufacturing,Europe,2018,1567.0,0.6,162.6,-15.4,55.2,39.6,59.5,66.5,433770.3,578360.4,7229504.9
300,Company_300,Manufacturing,Europe,2019,1406.1,-0.8,5826.7,-10.3,56.6,40.7,61.8,67.3,386137.3,514849.7,6435621.6
300,Company_300,Manufacturing,Europe,2020,1164.3,0.1,31.8,-17.2,57.9,43.1,64.7,65.8,313750.3,418333.7,5229171.8
300,Company_300,Manufacturing,Europe,2021,1207.1,4.9,902.0,3.7,60.0,46.4,65.6,67.9,316858.4,422477.9,5280973.1
300,Company_300,Manufacturing,Europe,2022,1184.4,4.2,463.6,-1.9,60.8,45.4,69.8,67.3,313586.7,418115.6,5226444.7
300,Company_300,Manufacturing,Europe,2023,1166.3,6.6,635.9,-1.5,63.2,46.3,70.8,72.5,306368.2,408490.9,5106136.5
300,Company_300,Manufacturing,Europe,2024,1093.0,6.6,1220.1,-6.3,63.8,47.0,73.4,71.1,285524.7,380699.6,4758745.1
300,Company_300,Manufacturing,Europe,2025,1179.3,4.6,542.8,7.9,65.7,51.6,74.9,70.5,296714.7,395619.6,4945244.4
